"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2022","57.48","57.68","57.74","57.30","1.72M","-0.83%"
"Mar 01, 2022","57.96","57.68","58.14","57.66","768.40K","0.56%"
"Feb 28, 2022","57.64","57.40","57.66","56.98","2.81M","0.52%"
"Feb 25, 2022","57.34","57.08","57.92","57.08","2.48M","0.81%"
"Feb 24, 2022","56.88","58.04","58.04","56.42","4.50M","-2.03%"
"Feb 23, 2022","58.06","57.10","58.10","57.10","1.99M","1.65%"
"Feb 22, 2022","57.12","57.72","57.72","56.88","3.57M","-1.52%"
"Feb 21, 2022","58.00","58.30","58.30","57.80","1.42M","-0.24%"
"Feb 18, 2022","58.14","58.10","58.32","57.74","2.33M","0.17%"
"Feb 17, 2022","58.04","57.92","58.40","57.88","2.15M","0.07%"
"Feb 16, 2022","58.00","57.64","58.20","57.64","1.29M","0.80%"
"Feb 15, 2022","57.54","56.86","57.58","56.86","1.48M","1.20%"
"Feb 14, 2022","56.86","57.36","57.42","56.62","2.60M","-1.15%"
"Feb 11, 2022","57.52","58.08","58.30","57.38","1.30M","-0.96%"
"Feb 10, 2022","58.08","58.18","58.18","57.60","1.01M","-0.10%"
"Feb 09, 2022","58.14","57.36","58.14","57.36","2.65M","1.36%"
"Feb 08, 2022","57.36","57.82","57.82","56.46","2.49M","-0.80%"
"Feb 07, 2022","57.82","57.86","58.30","57.56","1.15M","-0.07%"
"Feb 04, 2022","57.86","57.66","58.00","57.36","1.61M","1.40%"
"Jan 31, 2022","57.06","56.94","57.18","56.86","2.77M","0.67%"
"Jan 28, 2022","56.68","57.90","58.22","56.54","5.42M","-2.11%"
"Jan 27, 2022","57.90","58.84","58.88","57.72","4.37M","-1.76%"
"Jan 26, 2022","58.94","58.96","59.14","58.38","1.71M","0.44%"
"Jan 25, 2022","58.68","59.70","59.92","58.36","4.02M","-2.00%"
"Jan 24, 2022","59.88","59.66","60.20","59.56","2.32M","0.00%"
"Jan 21, 2022","59.88","60.38","60.38","59.66","2.37M","-0.96%"
"Jan 20, 2022","60.46","60.06","60.76","59.92","2.77M","1.27%"
"Jan 19, 2022","59.70","60.40","60.50","59.64","2.89M","-0.60%"
"Jan 18, 2022","60.06","59.54","60.54","59.46","2.01M","0.84%"
"Jan 17, 2022","59.56","59.18","59.74","59.10","2.37M","0.64%"
"Jan 14, 2022","59.18","59.46","59.54","59.06","3.75M","-0.77%"
"Jan 13, 2022","59.64","60.80","60.80","59.46","1.29M","-1.52%"
"Jan 12, 2022","60.56","60.02","60.72","60.02","1.64M","0.90%"
"Jan 11, 2022","60.02","60.24","60.54","59.84","2.60M","-0.73%"
"Jan 10, 2022","60.46","60.16","60.52","59.70","1.10M","0.50%"
"Jan 07, 2022","60.16","60.04","60.58","60.04","1.99M","-0.10%"
"Jan 06, 2022","60.22","60.50","60.64","59.74","1.39M","-0.95%"
"Jan 05, 2022","60.80","61.30","61.44","60.58","1.42M","-0.94%"
"Jan 04, 2022","61.38","61.98","61.98","60.80","1.05M","-0.97%"
"Jan 03, 2022","61.98","61.94","62.22","61.50","1.33M","0.68%"
"Dec 31, 2021","61.56","61.74","61.94","61.54","702.10K","0.10%"
"Dec 30, 2021","61.50","61.10","61.86","61.06","973.10K","0.65%"
"Dec 29, 2021","61.10","61.88","62.00","61.00","2.73M","-1.32%"
"Dec 28, 2021","61.92","61.66","62.10","61.50","2.45M","0.42%"
"Dec 24, 2021","61.66","62.82","62.82","61.32","1.21M","-0.42%"
"Dec 23, 2021","61.92","61.46","61.94","61.38","2.00M","1.11%"
"Dec 22, 2021","61.24","61.48","61.66","61.20","1.73M","-0.07%"
"Dec 21, 2021","61.28","62.00","62.00","60.86","3.85M","0.66%"
"Dec 20, 2021","60.88","61.70","62.06","60.72","2.57M","-1.36%"
"Dec 17, 2021","61.72","63.08","63.08","61.72","2.57M","-2.16%"
"Dec 16, 2021","63.08","62.64","63.14","62.40","1.44M","0.83%"
"Dec 15, 2021","62.56","62.98","63.24","62.50","2.61M","-0.70%"
"Dec 14, 2021","63.00","63.36","63.54","63.00","2.68M","-0.57%"
"Dec 13, 2021","63.36","63.70","64.42","63.36","2.72M","0.38%"
"Dec 10, 2021","63.12","63.70","63.70","63.06","2.42M","-1.07%"
"Dec 09, 2021","63.80","62.72","64.36","62.72","4.40M","1.72%"
"Dec 08, 2021","62.72","61.78","62.74","61.52","3.56M","1.72%"
"Dec 07, 2021","61.66","61.60","61.70","61.20","2.99M","0.95%"
"Dec 06, 2021","61.08","61.00","61.72","60.98","3.30M","0.13%"
"Dec 03, 2021","61.00","60.02","61.06","60.02","3.59M","0.96%"
"Dec 02, 2021","60.42","60.30","60.76","60.26","1.38M","0.17%"
"Dec 01, 2021","60.32","60.48","60.56","60.28","1.00M","-0.30%"
"Nov 30, 2021","60.50","60.62","60.70","59.94","2.44M","0.17%"
"Nov 29, 2021","60.40","60.32","60.56","60.14","2.00M","0.13%"
"Nov 26, 2021","60.32","60.68","60.90","60.30","2.36M","-1.05%"
"Nov 25, 2021","60.96","61.30","61.30","60.92","1.03M","-0.16%"
"Nov 24, 2021","61.06","61.22","61.56","61.02","1.35M","0.00%"
"Nov 23, 2021","61.06","61.14","61.46","61.06","515.73K","-0.13%"
"Nov 22, 2021","61.14","61.04","61.34","60.98","711.60K","0.13%"
"Nov 19, 2021","61.06","60.22","61.08","60.22","2.21M","1.06%"
"Nov 18, 2021","60.42","60.80","60.80","60.30","3.22M","-0.72%"
"Nov 17, 2021","60.86","61.02","61.12","60.76","498.00K","-0.29%"
"Nov 16, 2021","61.04","61.08","61.52","60.98","1.55M","0.03%"
"Nov 15, 2021","61.02","61.26","61.36","60.88","1.79M","-0.03%"
"Nov 12, 2021","61.04","60.98","61.20","60.84","2.44M","0.10%"
"Nov 11, 2021","60.98","59.84","61.02","59.84","2.95M","1.23%"
"Nov 10, 2021","60.24","60.10","60.28","59.12","4.89M","-0.23%"
"Nov 09, 2021","60.38","60.52","60.70","60.08","3.26M","0.43%"
"Nov 08, 2021","60.12","60.10","60.56","60.00","1.50M","0.13%"
"Nov 05, 2021","60.04","60.40","60.78","60.04","2.47M","-0.69%"
"Nov 04, 2021","60.46","60.20","60.66","60.20","1.41M","0.87%"
"Nov 03, 2021","59.94","60.00","60.42","59.66","2.39M","-0.20%"
"Nov 02, 2021","60.06","60.58","61.04","59.60","3.81M","-0.96%"
"Nov 01, 2021","60.64","60.40","60.90","60.26","1.77M","-0.59%"
"Oct 29, 2021","61.00","60.56","61.02","60.34","2.83M","0.73%"
"Oct 28, 2021","60.56","60.52","60.74","60.20","1.71M","-0.62%"
"Oct 27, 2021","60.94","61.50","61.50","60.70","2.75M","-1.46%"
"Oct 26, 2021","61.84","62.00","62.24","61.52","1.42M","0.19%"
"Oct 25, 2021","61.72","61.50","61.88","61.44","7.78M","0.16%"
"Oct 22, 2021","61.62","61.42","62.04","61.36","2.47M","0.49%"
"Oct 21, 2021","61.32","61.08","61.64","60.80","2.48M","0.43%"
"Oct 20, 2021","61.06","61.50","61.64","60.94","2.05M","-0.07%"
"Oct 19, 2021","61.10","60.38","61.12","60.36","1.77M","1.16%"
"Oct 18, 2021","60.40","61.20","61.20","59.78","2.19M","-1.15%"
"Oct 15, 2021","61.10","60.96","61.16","60.24","5.44M","1.90%"
"Oct 12, 2021","59.96","60.54","60.64","59.56","3.01M","-1.61%"
"Oct 11, 2021","60.94","61.00","61.50","60.82","1.88M","0.30%"
"Oct 08, 2021","60.76","60.00","60.90","60.00","3.42M","1.98%"
"Oct 07, 2021","59.58","59.00","59.66","59.00","1.33M","2.16%"
"Oct 06, 2021","58.32","58.46","58.62","58.04","1.21M","-0.31%"
"Oct 05, 2021","58.50","58.80","58.80","58.14","1.35M","-0.71%"
"Oct 04, 2021","58.92","59.36","59.36","58.68","1.24M","-1.64%"
"Sep 30, 2021","59.90","59.70","60.08","59.64","2.76M","0.44%"
"Sep 29, 2021","59.64","59.66","60.10","59.16","5.46M","-0.77%"
"Sep 28, 2021","60.10","60.08","60.50","59.86","2.92M","0.03%"
"Sep 27, 2021","60.08","59.74","60.64","59.74","9.44M","1.04%"
"Sep 24, 2021","59.46","59.72","60.26","59.46","3.92M","-0.20%"
"Sep 23, 2021","59.58","58.52","60.04","58.52","3.32M","2.13%"
"Sep 21, 2021","58.34","57.86","58.54","57.72","2.76M","0.31%"
"Sep 20, 2021","58.16","59.92","59.92","57.56","4.80M","-3.26%"
"Sep 17, 2021","60.12","59.28","60.12","58.98","6.11M","1.11%"
"Sep 16, 2021","59.46","59.62","60.34","59.44","5.86M","-1.33%"
"Sep 15, 2021","60.26","60.52","60.60","59.76","4.53M","-0.82%"
"Sep 14, 2021","60.76","61.04","61.70","60.52","8.41M","-1.24%"
"Sep 13, 2021","61.52","61.66","62.06","61.06","4.76M","-0.90%"
"Sep 10, 2021","62.08","61.02","62.34","61.02","9.75M","1.77%"
"Sep 09, 2021","61.00","61.10","61.28","60.76","3.41M","-0.49%"
"Sep 08, 2021","61.30","61.40","61.72","61.02","4.45M","-0.29%"
"Sep 07, 2021","61.48","60.76","61.74","60.52","5.53M","1.18%"
"Sep 06, 2021","60.76","60.00","61.04","59.58","3.29M","1.27%"
"Sep 03, 2021","60.00","60.32","60.36","59.64","1.96M","-0.37%"
"Sep 02, 2021","60.22","60.04","60.36","59.76","2.02M","0.30%"
"Sep 01, 2021","60.04","59.16","60.52","58.70","5.69M","1.38%"
"Aug 31, 2021","59.22","59.04","59.42","58.26","3.45M","-0.24%"
"Aug 30, 2021","59.36","59.58","59.64","58.86","1.69M","-0.24%"
"Aug 27, 2021","59.50","59.00","59.86","59.00","2.13M","0.61%"
"Aug 26, 2021","59.14","60.50","60.50","58.92","2.81M","-2.09%"
"Aug 25, 2021","60.40","61.16","61.16","59.62","3.12M","0.20%"
"Aug 24, 2021","60.28","59.14","60.34","59.14","4.77M","1.93%"
"Aug 23, 2021","59.14","58.54","59.32","58.42","4.04M","1.93%"
"Aug 20, 2021","58.02","59.28","59.28","57.66","7.98M","-2.13%"
"Aug 19, 2021","59.28","59.70","59.86","59.16","4.19M","-0.70%"
"Aug 18, 2021","59.70","59.40","60.30","59.18","5.13M","0.61%"
"Aug 17, 2021","59.34","60.62","61.02","59.10","4.38M","-2.01%"
