"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2018","402.25","396.25","402.50","396.00","190.99K","3.41%"
"05/14/2018","389.00","388.50","388.75","387.50","0.20K","-0.19%"
"05/11/2018","389.75","394.00","394.75","389.75","0.50K","-1.27%"
"05/10/2018","394.75","395.50","399.75","393.25","0.60K","0.00%"
"05/09/2018","394.75","396.25","397.00","394.00","0.91K","-0.19%"
"05/08/2018","395.50","392.75","396.00","391.25","2.02K","0.57%"
"05/07/2018","393.25","397.25","397.50","393.25","1.96K","-1.38%"
"05/04/2018","398.75","399.50","400.00","397.50","2.09K","-0.19%"
"05/03/2018","399.50","396.00","399.50","395.00","1.32K","0.88%"
"05/02/2018","396.00","396.25","397.25","395.00","3.18K","-0.19%"
"05/01/2018","396.75","393.00","397.00","391.50","7.50K","1.08%"
"04/30/2018","392.50","390.75","395.75","390.50","19.34K","0.77%"
"04/27/2018","389.50","385.25","390.50","385.25","165.58K","0.91%"
"04/26/2018","386.00","386.00","387.00","384.00","132.00K","-0.13%"
"04/25/2018","386.50","381.00","387.25","380.50","148.79K","1.38%"
"04/24/2018","381.25","378.50","381.50","377.00","115.02K","0.73%"
"04/23/2018","378.50","376.50","379.25","376.25","151.35K","0.53%"
"04/20/2018","376.50","381.25","381.75","376.25","156.69K","-1.44%"
"04/19/2018","382.00","382.75","383.50","380.75","113.02K","-0.26%"
"04/18/2018","383.00","380.75","383.50","380.00","142.85K","0.72%"
"04/17/2018","380.25","383.00","384.50","379.75","239.87K","-0.59%"
"04/16/2018","382.50","385.00","386.25","382.00","175.61K","-0.97%"
"04/13/2018","386.25","388.50","389.25","385.00","233.79K","-0.64%"
"04/12/2018","388.75","386.50","389.25","385.00","201.80K","0.45%"
"04/11/2018","387.00","389.25","390.50","385.75","158.05K","-0.58%"
"04/10/2018","389.25","390.00","392.25","388.50","272.80K","-0.38%"
"04/09/2018","390.75","389.75","392.50","388.75","215.39K","0.58%"
"04/06/2018","388.50","382.00","390.00","382.00","309.02K","-0.26%"
"04/05/2018","389.50","382.00","389.50","380.75","263.91K","2.23%"
"04/04/2018","381.00","388.00","389.00","372.00","367.00K","-1.93%"
"04/03/2018","388.50","387.00","392.00","386.75","211.50K","0.32%"
"04/02/2018","387.25","389.25","392.50","387.00","207.53K","-0.13%"
"03/29/2018","387.75","373.75","389.25","373.75","377.91K","3.82%"
"03/28/2018","373.50","374.25","375.00","372.00","173.54K","-0.13%"
"03/27/2018","374.00","374.00","376.00","372.25","134.33K","0.00%"
"03/26/2018","374.00","378.50","380.75","373.50","183.53K","-0.86%"
"03/23/2018","377.25","376.25","378.25","369.25","279.20K","0.33%"
"03/22/2018","376.00","375.50","377.50","374.00","161.68K","0.27%"
"03/21/2018","375.00","375.00","375.75","373.75","149.27K","0.13%"
"03/20/2018","374.50","375.25","377.00","373.25","204.62K","-0.13%"
"03/19/2018","375.00","382.00","382.00","374.75","245.78K","-2.02%"
"03/16/2018","382.75","386.25","387.50","382.50","150.93K","-1.03%"
"03/15/2018","386.75","388.25","390.75","385.50","182.45K","0.85%"
"03/14/2018","383.50","386.50","386.50","384.25","0.24K","-0.52%"
"03/13/2018","385.50","383.75","388.75","383.50","2.04K","0.33%"
"03/12/2018","384.25","382.75","384.25","380.50","1.46K","0.33%"
"03/09/2018","383.00","385.00","385.25","382.50","2.98K","-0.71%"
"03/08/2018","385.75","378.50","385.75","378.00","2.39K","1.71%"
"03/07/2018","379.25","378.75","380.75","378.50","4.26K","-0.13%"
"03/06/2018","379.75","377.75","380.25","377.25","2.30K","0.40%"
"03/05/2018","378.25","376.25","378.50","374.75","8.18K","0.27%"
"03/02/2018","377.25","377.75","380.25","376.00","5.92K","-0.40%"
"03/01/2018","378.75","374.00","379.00","372.00","8.65K","1.13%"
"02/28/2018","374.50","370.50","376.75","369.75","20.80K","1.08%"
"02/27/2018","370.50","368.25","371.00","367.75","240.12K","0.54%"
"02/26/2018","368.50","366.50","370.00","366.50","318.91K","0.61%"
"02/23/2018","366.25","366.25","367.75","365.25","212.35K","-0.14%"
"02/22/2018","366.75","365.50","367.00","364.25","229.12K","0.27%"
"02/21/2018","365.75","365.75","368.50","364.25","266.66K","0.07%"
"02/20/2018","365.50","369.00","370.00","365.25","319.32K","-0.48%"
"02/19/2018","367.25","367.25","367.25","367.25","","0.00%"
"02/18/2018","367.25","367.25","367.25","367.25","","-0.07%"
"02/16/2018","367.50","368.00","368.50","366.50","185.26K","-0.07%"
"02/15/2018","367.75","367.00","368.75","365.50","193.48K","0.14%"
"02/14/2018","367.25","366.50","368.50","364.75","173.64K","0.14%"
"02/13/2018","366.75","366.50","368.50","366.00","257.67K","-0.07%"
"02/12/2018","367.00","365.00","367.00","364.25","264.08K","1.38%"
"02/09/2018","362.00","364.75","365.50","361.50","254.70K","-1.03%"
"02/08/2018","365.75","365.00","367.75","364.50","341.48K","0.14%"
"02/07/2018","365.25","363.75","365.75","362.50","478.33K","0.48%"
"02/06/2018","363.50","358.75","364.00","356.25","236.19K","1.32%"
"02/05/2018","358.75","359.50","360.75","357.25","260.35K","-0.76%"
"02/02/2018","361.50","361.00","362.50","359.50","198.99K","-0.07%"
"02/01/2018","361.75","360.75","362.00","358.50","254.88K","0.07%"
